HUNDRED,STREET,FROM,TO,CITY COUNCIL DISTRICT,POTHOLES,DITCHES,EMERGENCY UTILITY WORK,ROADWAY RESURFACING RATING,PAVING PROGRAM,,,
200,38TH PARALLEL PL,DOCK ST,SPRUCE ST,1,0,0,0,96,CITY FAM,,,
5300,ALFRED ST,W PENN ST,W COULTER ST,8,3,2,0,78,CITY LOCAL,,,
5400,ARCHER ST,EARLHAM TER,W COULTER ST,8,1,0,0,90,CITY LOCAL,,,
2400,BAINBRIDGE ST,S 24TH ST,BRINLEY CT,2,1,0,0,89,CITY LOCAL,,,
2500,BAINBRIDGE ST,BRINLEY CT,S BAMBREY ST,2,0,0,1,89,CITY LOCAL,,,
2500,BAINBRIDGE ST,S BAMBREY ST,S 26TH ST,2,0,0,0,70,CITY LOCAL,,,
2600,BAINBRIDGE ST,S 26TH ST,S TANEY ST,2,0,1,1,70,CITY LOCAL,,,
2700,BAINBRIDGE ST,S 27TH ST,SCHUYLKILL AVE,2,0,0,3,77,CITY LOCAL,,,
100,BALDWIN ST,WILDE ST,SILVERWOOD ST,4,5,5,1,65,CITY LOCAL,,,
1700,BLAVIS ST,N 17TH ST,N COLORADO ST,8,3,1,1,57,CITY LOCAL,,,
1700,BLAVIS ST,N COLORADO ST,N 18TH ST,8,1,2,0,57,CITY LOCAL,,,
1400,BRANDYWINE ST,N BROAD ST,N 15TH ST,5,0,0,0,90,CITY LOCAL,,,
1100,BRIDGE ST,LARGE ST,HORROCKS ST,7,3,2,1,57,CITY LOCAL,,,
1200,BRIDGE ST,HORROCKS ST,SYLVESTER ST,7,2,0,1,44,CITY LOCAL,,,
1200,BRIDGE ST,SYLVESTER ST,OAKLAND ST,7,0,0,1,70,CITY LOCAL,,,
1300,BRIDGE ST,OAKLAND ST,AKRON ST,7,0,0,4,57,CITY LOCAL,,,
1300,BRIDGE ST,SAUL ST,N PENN ST,7,0,0,0,70,CITY LOCAL,,,
1300,BRIDGE ST,AKRON ST,SAUL ST,7,0,0,1,70,CITY LOCAL,,,
1400,BRIDGE ST,N PENN ST,BUSWAY DR,7,5,0,4,49,CITY LOCAL,,,
1500,BRIDGE ST,BUSWAY DR,BUSTLETON AVE,7,0,0,0,78,CITY LOCAL,,,
8800,BROCKLEHURST ST,WINCHESTER AVE,MAXWELL ST,6,4,0,0,57,CITY LOCAL,,,
8800,BROCKLEHURST ST,MAXWELL ST,BROUS AVE,6,0,0,1,57,CITY LOCAL,,,
8900,BROCKLEHURST ST,BROUS AVE,TREMONT ST,6,1,0,0,57,CITY LOCAL,,,
300,BURNSIDE ST,MANAYUNK AVE,LAURISTON ST,4,5,1,0,57,CITY LOCAL,,,
0,BUSTLETON AVE,E ROOSEVELT BLVD,E ROOSEVELT BLVD,6,0,0,0,100,PENNDOT,,,
0,BUSTLETON AVE,E ROOSEVELT BLVD,E ROOSEVELT BLVD,6,0,0,0,100,PENNDOT,,,
0,BUSTLETON AVE,E ROOSEVELT BLVD,E ROOSEVELT BLVD,6,0,0,0,100,PENNDOT,,,
0,BUSTLETON AVE,RHAWN ST,HORROCKS ST,10,1,0,0,100,PENNDOT,,,
5200,BUSTLETON AVE,FRANKFORD AVE,BRIDGE ST,7,4,0,0,100,PennDOT,,,
5300,BUSTLETON AVE,BRIDGE ST,BUSWAY DR,7,3,0,0,100,PENNDOT,,,
5400,BUSTLETON AVE,BUSWAY DR,E CHELTENHAM AVE,7,2,0,0,100,PennDOT,,,
5800,BUSTLETON AVE,E CHELTENHAM AVE,VAN KIRK ST,7,3,18,3,100,PennDOT,,,
5900,BUSTLETON AVE,VAN KIRK ST,COMLY ST,7,0,0,0,100,PENNDOT,,,
6000,BUSTLETON AVE,COMLY ST,N PENN ST,7,0,0,0,100,PennDOT,,,
6000,BUSTLETON AVE,N PENN ST,BENNER ST,7,0,0,0,100,PENNDOT,,,
6100,BUSTLETON AVE,LARDNER ST,DEVEREAUX AVE,7,0,0,3,100,PennDOT,,,
6100,BUSTLETON AVE,BENNER ST,LARDNER ST,7,2,23,0,100,PENNDOT,,,
6200,BUSTLETON AVE,DEVEREAUX AVE,MC KINLEY ST,7,1,0,6,100,PennDOT,,,
6200,BUSTLETON AVE,MC KINLEY ST,ROBBINS ST,6,1,1,6,100,PENNDOT,,,
6300,BUSTLETON AVE,E ROOSEVELT BLVD,LEVICK ST,6,0,0,0,100,PENNDOT,,,
6300,BUSTLETON AVE,ROBBINS ST,E ROOSEVELT BLVD,6,2,0,0,100,PENNDOT,,,
6400,BUSTLETON AVE,LEVICK ST,HELLERMAN ST,6,5,0,0,100,PENNDOT,,,
6500,BUSTLETON AVE,HELLERMAN ST,MAGEE AVE,6,0,0,0,100,PENNDOT,,,
6600,BUSTLETON AVE,FANSHAWE ST,UNRUH AVE,6,0,0,0,100,PennDOT,,,
6600,BUSTLETON AVE,MAGEE AVE,FANSHAWE ST,6,1,2,1,100,PENNDOT,,,
6700,BUSTLETON AVE,UNRUH AVE,HARBISON AVE,6,0,0,3,100,PENNDOT,,,
6800,BUSTLETON AVE,GLENVIEW ST,LONGSHORE AVE,6,0,0,0,100,PENNDOT,,,
6800,BUSTLETON AVE,HARBISON AVE,GLENVIEW ST,6,2,0,1,100,PENNDOT,,,
6800,BUSTLETON AVE,GLENVIEW ST,GLENVIEW ST,6,0,0,0,100,PENNDOT,,,
6900,BUSTLETON AVE,LONGSHORE AVE,DISSTON ST,6,0,0,0,100,PENNDOT,,,
6900,BUSTLETON AVE,DISSTON ST,TYSON AVE,6,0,0,2,100,PENNDOT,,,
7000,BUSTLETON AVE,BRIGHTON ST,PRINCETON AVE,6,0,0,0,100,PENNDOT,,,
7000,BUSTLETON AVE,TYSON AVE,BRIGHTON ST,6,1,0,0,100,PennDOT,,,
7100,BUSTLETON AVE,PRINCETON AVE,FRIENDSHIP ST,6,0,0,0,100,PENNDOT,,,
7100,BUSTLETON AVE,FRIENDSHIP ST,SAINT VINCENT ST,6,0,0,1,100,PENNDOT,,,
7200,BUSTLETON AVE,ENGLEWOOD ST,COTTMAN AVE,6,3,0,0,100,PennDOT,,,
7200,BUSTLETON AVE,SAINT VINCENT ST,ENGLEWOOD ST,6,6,0,2,100,PENNDOT,,,
7300,BUSTLETON AVE,BLEIGH AVE,BLEIGH AVE,10,1,0,0,100,PENNDOT,,,
7300,BUSTLETON AVE,COTTMAN AVE,BLEIGH AVE,10,7,5,1,100,PENNDOT,,,
7400,BUSTLETON AVE,VISTA ST,SHELMIRE AVE,10,0,0,0,100,PENNDOT,,,
7400,BUSTLETON AVE,BLEIGH AVE,VISTA ST,10,2,1,0,100,PENNDOT,,,
7500,BUSTLETON AVE,FAUNCE ST,AFTON ST,10,1,0,0,100,PENNDOT,,,
7500,BUSTLETON AVE,SHELMIRE AVE,OAKMONT ST,10,1,0,0,100,PENNDOT,,,
7500,BUSTLETON AVE,OAKMONT ST,FAUNCE ST,10,0,0,0,100,PennDOT,,,
7600,BUSTLETON AVE,AFTON ST,NAPFLE AVE,10,2,0,0,100,PENNDOT,,,
7700,BUSTLETON AVE,LANSING ST,HARTEL AVE,10,0,0,0,100,PENNDOT,,,
