HUNDRED,ON,FROM,TO,COUNCIL,CONDI- TION_IN- DEX,POTHOLES,DITCHES,PAVING PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,73RD AVE,N 21ST ST,BRIAR RD,9,100,2,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,73RD AVE,N 20TH ST,N 21ST ST,9,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,73RD AVE,ANDREWS AVE,N 20TH ST,9,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,73RD AVE,N 19TH ST,ANDREWS AVE,9,100,1,5,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,73RD AVE,N 18TH ST,N 19TH ST,9,100,2,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,74TH AVE,OGONTZ AVE,E WASHINGTON LN,9,100,5,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,75TH AVE,E WASHINGTON LN,OGONTZ AVE,9,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,75TH AVE,BRIAR RD,SOMMERS RD,9,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,75TH AVE,OGONTZ AVE,FAYETTE ST,9,100,4,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3500,AINSLIE ST,CONRAD ST,CRESSON ST,4,100,4,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300,AINSLIE ST,HENRY AVE,OSMOND ST,4,100,12,6,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300,AINSLIE ST,OSMOND ST,BARCLAY ST,4,100,3,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300,AINSLIE ST,BARCLAY ST,VAUX ST,4,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,AINSLIE ST,VAUX ST,CONRAD ST,4,100,4,3,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6600,ALGON AVE,MAGEE AVE,FANSHAWE ST,9,87,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400,ALGON AVE,LEVICK ST,PASSMORE ST,9,70,8,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400,ALGON AVE,PASSMORE ST,HELLERMAN ST,9,67,1,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500,ALGON AVE,HELLERMAN ST,GILHAM ST,9,65,8,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500,ALGON AVE,GILHAM ST,MAGEE AVE,9,67,1,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6700,ALGON AVE,UNRUH AVE,KERPER ST,9,87,3,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6600,ALGON AVE,FANSHAWE ST,UNRUH AVE,9,81,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6900,ALGON AVE,LONGSHORE AVE,DISSTON ST,9,93,1,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6800,ALGON AVE,GLENVIEW ST,LONGSHORE AVE,9,94,1,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6800,ALGON AVE,KNORR ST,GLENVIEW ST,9,95,2,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6700,ALGON AVE,KERPER ST,KNORR ST,9,87,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6900,ALGON AVE,DISSTON ST,TYSON AVE,9,93,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000,ALGON AVE,TYSON AVE,BRIGHTON ST,9,95,4,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
